;contractID;symbol;expiration;strike;type;last;mark;bid;bid_size;ask;ask_size;volume;open_interest;date;implied_volatility;delta;gamma;theta;vega;rho;underlying;price_date
722;AAPL250417C00335000;AAPL;2025-04-17;335.00;call;0.01;0.01;0.00;0;0.02;61;88;1230;2025-03-13;0.48156;0.00118;0.00013;-0.00178;0.00255;0.00023;AAPL;2025-03-13
723;AAPL250417P00335000;AAPL;2025-04-17;335.00;put;0.00;125.30;124.90;103;125.70;101;0;0;2025-03-13;0.88948;-0.93923;0.00208;-0.06104;0.07813;-0.30899;AAPL;2025-03-13
724;AAPL250417C00340000;AAPL;2025-04-17;340.00;call;0.01;0.01;0.00;0;0.02;1;223;4849;2025-03-13;0.49543;0.00116;0.00012;-0.00179;0.00250;0.00022;AAPL;2025-03-13
725;AAPL250417P00340000;AAPL;2025-04-17;340.00;put;0.00;130.27;129.85;105;130.70;105;0;0;2025-03-13;0.90975;-0.94064;0.00200;-0.06083;0.07670;-0.31405;AAPL;2025-03-13
726;AAPL250425C00100000;AAPL;2025-04-25;100.00;call;111.26;109.72;108.35;105;111.10;105;10;0;2025-03-13;0.19081;1.00000;0.00000;-0.01180;0.00000;0.11721;AAPL;2025-03-13
727;AAPL250425P00100000;AAPL;2025-04-25;100.00;put;0.08;0.01;0.00;0;0.15;23;1;0;2025-03-13;0.70533;-0.00069;0.00005;-0.00139;0.00171;-0.00018;AAPL;2025-03-13
728;AAPL250425C00110000;AAPL;2025-04-25;110.00;call;0.00;99.85;98.55;105;101.15;105;0;0;2025-03-13;0.17341;1.00000;0.00000;-0.01298;0.00000;0.12893;AAPL;2025-03-13
729;AAPL250425P00110000;AAPL;2025-04-25;110.00;put;0.00;0.01;0.00;0;1.37;168;0;1;2025-03-13;0.61966;-0.00078;0.00006;-0.00137;0.00193;-0.00020;AAPL;2025-03-13
730;AAPL250425C00120000;AAPL;2025-04-25;120.00;call;94.93;89.88;88.45;105;91.30;105;23;23;2025-03-13;0.15601;1.00000;0.00000;-0.01416;0.00000;0.14065;AAPL;2025-03-13
731;AAPL250425P00120000;AAPL;2025-04-25;120.00;put;0.00;0.01;0.00;0;1.37;183;0;0;2025-03-13;0.54116;-0.00089;0.00008;-0.00135;0.00218;-0.00023;AAPL;2025-03-13
732;AAPL250425C00130000;AAPL;2025-04-25;130.00;call;109.45;80.03;78.55;105;81.50;105;0;42;2025-03-13;0.13862;1.00000;0.00000;-0.01534;0.00000;0.15237;AAPL;2025-03-13
733;AAPL250425P00130000;AAPL;2025-04-25;130.00;put;0.00;0.01;0.00;0;1.50;169;0;0;2025-03-13;0.46875;-0.00102;0.00010;-0.00132;0.00247;-0.00026;AAPL;2025-03-13
734;AAPL250425C00140000;AAPL;2025-04-25;140.00;call;99.35;70.40;69.25;105;71.55;105;0;1;2025-03-13;0.39223;0.99905;0.00011;-0.01755;0.00231;0.16385;AAPL;2025-03-13
735;AAPL250425P00140000;AAPL;2025-04-25;140.00;put;0.34;0.01;0.00;0;2.16;313;300;6;2025-03-13;0.40138;-0.00119;0.00014;-0.00130;0.00284;-0.00031;AAPL;2025-03-13
736;AAPL250425C00145000;AAPL;2025-04-25;145.00;call;0.00;65.58;64.45;105;66.70;91;0;0;2025-03-13;0.50351;0.98778;0.00088;-0.03016;0.02283;0.16674;AAPL;2025-03-13
737;AAPL250425P00145000;AAPL;2025-04-25;145.00;put;0.00;0.76;0.06;163;1.45;147;0;0;2025-03-13;0.65198;-0.03730;0.00173;-0.04339;0.05858;-0.01011;AAPL;2025-03-13
738;AAPL250425C00150000;AAPL;2025-04-25;150.00;call;0.00;60.38;58.95;105;61.80;105;0;0;2025-03-13;0.10382;1.00000;0.00000;-0.01770;0.00000;0.17581;AAPL;2025-03-13
739;AAPL250425P00150000;AAPL;2025-04-25;150.00;put;0.55;0.62;0.25;6;1.00;418;25;307;2025-03-13;0.57836;-0.03497;0.00186;-0.03643;0.05558;-0.00937;AAPL;2025-03-13
740;AAPL250425C00155000;AAPL;2025-04-25;155.00;call;0.00;55.53;54.10;105;56.95;105;0;0;2025-03-13;0.37211;0.99324;0.00071;-0.02401;0.01361;0.17993;AAPL;2025-03-13
741;AAPL250425P00155000;AAPL;2025-04-25;155.00;put;0.00;1.00;0.18;202;1.82;154;0;0;2025-03-13;0.58720;-0.05205;0.00252;-0.05091;0.07664;-0.01404;AAPL;2025-03-13
742;AAPL250425C00160000;AAPL;2025-04-25;160.00;call;62.18;50.72;49.30;105;52.15;63;0;5;2025-03-13;0.40504;0.97988;0.00167;-0.03485;0.03502;0.18230;AAPL;2025-03-13
743;AAPL250425P00160000;AAPL;2025-04-25;160.00;put;0.71;0.72;0.50;229;0.95;309;76;29;2025-03-13;0.50031;-0.04549;0.00266;-0.03882;0.06881;-0.01208;AAPL;2025-03-13
744;AAPL250425C00165000;AAPL;2025-04-25;165.00;call;47.00;46.83;45.95;23;47.70;116;2;0;2025-03-13;0.52211;0.92721;0.00368;-0.07796;0.09958;0.17387;AAPL;2025-03-13
745;AAPL250425P00165000;AAPL;2025-04-25;165.00;put;0.74;0.87;0.69;415;1.05;458;154;28;2025-03-13;0.47348;-0.05623;0.00332;-0.04335;0.08147;-0.01491;AAPL;2025-03-13
746;AAPL250425C00170000;AAPL;2025-04-25;170.00;call;41.80;41.97;41.30;19;42.65;52;7;0;2025-03-13;0.48263;0.91621;0.00443;-0.07999;0.11079;0.17688;AAPL;2025-03-13
747;AAPL250425P00170000;AAPL;2025-04-25;170.00;put;1.01;1.11;0.79;12;1.44;623;8;25;2025-03-13;0.45260;-0.07202;0.00421;-0.05005;0.09876;-0.01910;AAPL;2025-03-13
